account_id,primary_nba,execution_status,attention_priority,migration_progress_status,guardrail_codes,action_state,action_key,input_row_hash,run_id
ACC-176,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,94af0171e89c,8cf96c665b85,RUN003
ACC-177,Automated Nurture,Ready — Automated,P4,N/A,FEB_SENSITIVE; LOW_CONFIDENCE,Draft Ready,2ef52d7e350a,d83c9e92d153,RUN003
ACC-178,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,9fd00c22f7a3,083d583fc1ac,RUN003
ACC-179,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,bb3e7953d27e,786cc9f87526,RUN003
ACC-180,Automated Nurture,Ready — Automated,P4,N/A,NO_FEB_GMV (Feb unconfirmed); LOW_CONFIDENCE,Draft Ready,66ff983f3cb7,a450fda92c67,RUN003
ACC-181,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,88e6a18c861d,9cbee22e349f,RUN003
ACC-182,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,d83eba19c798,fcb67a053a05,RUN003
ACC-183,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,4a1bec8bb6d8,8a7fab967136,RUN003
ACC-184,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,87993aa90416,50ebaed8aa3b,RUN003
ACC-185,Automated Nurture,Ready — Automated,P4,N/A,NO_FEB_GMV (Feb unconfirmed); LOW_CONFIDENCE,Draft Ready,b871545630e4,0c737908650e,RUN003
ACC-186,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,5d7448a9ea86,5b60e9a800a5,RUN003
ACC-187,Automated Nurture,Ready — Automated,P4,N/A,NO_FEB_GMV (Feb unconfirmed); LOW_CONFIDENCE,Draft Ready,88432a41333b,9c376582e2cb,RUN003
ACC-188,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,2acc851a5c42,557be5abd538,RUN003
ACC-189,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,cf65c3d8ed81,6f74beedd918,RUN003
ACC-190,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,2df02515b01d,2cfefad2e3de,RUN003
ACC-191,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,5fff9de1ac4f,0387b8ba7586,RUN003
ACC-192,Automated Nurture,Ready — Automated,P4,N/A,NO_FEB_GMV (Feb unconfirmed); LOW_CONFIDENCE,Draft Ready,37904806c11d,f9cb0b414021,RUN003
ACC-193,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,0a4fe2c852ec,173d9beb175d,RUN003
ACC-194,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,0a76c7964377,e8142ff8f052,RUN003
ACC-195,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,20cf560eb32c,71afe13948fe,RUN003
ACC-196,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,92c8d1f0ba46,58fa44815e1c,RUN003
ACC-197,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,4eefcefe0920,794472857d96,RUN003
ACC-198,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,5207cde5aa9d,df42949d122a,RUN003
ACC-199,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,6f2daa2b8a4b,cddf241de166,RUN003
ACC-200,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,c10dabd89268,3b77e26f945d,RUN003
ACC-201,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,a3af48d3caf4,42506015b570,RUN003
ACC-202,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,1a6eef01c49b,c5d543d30225,RUN003
ACC-203,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,ae7aee7523a2,39863da4b0a9,RUN003
ACC-204,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,104a524f77c8,3db23a15fb95,RUN003
ACC-205,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,746e5665bfc5,65ca85122f47,RUN003
ACC-206,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,5cf7047cb211,d6094f020439,RUN003
ACC-207,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,b473bb382241,0d7c9160a483,RUN003
ACC-208,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,f4d8df5c311f,2bc6ee9f36c1,RUN003
ACC-209,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,0cd3ab719f0f,b90865a78be1,RUN003
ACC-210,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,24eec152cce3,6e7905af79e8,RUN003
ACC-211,Reinforce Successful Behaviour,Human Review Required,P2,N/A,FEB_SENSITIVE,Awaiting Human Review,0f799e9cf54b,b31537dc4618,RUN003
ACC-212,Reinforce Successful Behaviour,Ready — Automated,P2,N/A,,Draft Ready,aa1e187383b5,77b5219fb797,RUN003
ACC-213,Reinforce Successful Behaviour,Ready — Automated,P2,N/A,NO_FEB_GMV (Feb unconfirmed),Draft Ready,91cb14df2473,3e5efe8f259a,RUN003
ACC-214,Retention Conversation,Ready — Human,P1,N/A,H2_SINGLE_MONTH_SPIKE,Draft Ready,85018850706f,7d31b6d5bab1,RUN003
ACC-215,Verify Demand / Win-Back,Ready — Human,P1,N/A,LOW_CONFIDENCE,Draft Ready,7be89ed5f41b,ce43fe64d53b,RUN003
ACC-216,Verify Demand / Win-Back,Ready — Human,P1,N/A,H2_SINGLE_MONTH_SPIKE,Draft Ready,0ffb95bd9c91,b385604b0bc3,RUN003
ACC-217,Establish / Re-establish,Ready — Automated,P2,N/A,,Draft Ready,5a52a8fcef4c,7d3cd9140e6c,RUN003
ACC-218,Automated Nurture,Ready — Automated,P4,N/A,,Draft Ready,d69faed4c289,35f38179a8e4,RUN003
ACC-219,Discovery-to-Offer Enablement,Ready — Automated,P3,N/A,,Draft Ready,9001107dfa80,a0c65e032e2d,RUN003
ACC-220,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,8e9758ced7cd,7107da91da36,RUN003
ACC-221,Automated Nurture,Ready — Automated,P4,N/A,,Draft Ready,0bec578febde,edd7728f3b6c,RUN003
ACC-222,Automated Nurture,Ready — Automated,P4,N/A,FEB_SENSITIVE; LOW_CONFIDENCE,Draft Ready,7999b569caa7,3677900f13ac,RUN003
ACC-223,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,672587e39985,002544bcf9fa,RUN003
ACC-224,Automated Nurture,Ready — Automated,P4,N/A,NO_FEB_GMV (Feb unconfirmed); LOW_CONFIDENCE,Draft Ready,0f37ffd37385,7de35e299e91,RUN003
ACC-225,Automated Nurture,Ready — Automated,P4,N/A,,Draft Ready,e0dbb37266d4,87500a53250d,RUN003
ACC-226,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,b2110c31973b,5353c7180c46,RUN003
ACC-227,Automated Nurture,Ready — Automated,P4,N/A,FEB_SENSITIVE; LOW_CONFIDENCE,Draft Ready,1a28b6518089,d98e088fbe64,RUN003
ACC-228,Automated Nurture,Ready — Automated,P4,N/A,FEB_SENSITIVE; LOW_CONFIDENCE,Draft Ready,b4ec099e11b3,55727ec1e3f9,RUN003
ACC-229,Automated Nurture,Ready — Automated,P4,N/A,NO_FEB_GMV (Feb unconfirmed); LOW_CONFIDENCE,Draft Ready,419097fdf4a6,ce8761978db3,RUN003
ACC-230,Automated Nurture,Ready — Automated,P4,N/A,BORDERLINE_MOMENTUM; H2_SINGLE_MONTH_SPIKE; NO_FEB_GMV (Feb unconfirmed),Draft Ready,073e91fed835,45b216ce65d5,RUN003
ACC-231,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,414d0d5121bb,c07681c93cbc,RUN003
ACC-232,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,b5cfa22bc5c2,aacbe65c4685,RUN003
ACC-233,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,ce026434ec4e,3bf88ea0c588,RUN003
ACC-234,Automated Nurture,Ready — Automated,P4,N/A,FEB_SENSITIVE; LOW_CONFIDENCE,Draft Ready,413a9e9197ee,3408781e7eef,RUN003
ACC-235,Automated Nurture,Ready — Automated,P4,N/A,NO_FEB_GMV (Feb unconfirmed); LOW_CONFIDENCE,Draft Ready,78ad33491e60,e64e19cf367f,RUN003
ACC-236,Automated Nurture,Ready — Automated,P4,N/A,NO_FEB_GMV (Feb unconfirmed); LOW_CONFIDENCE,Draft Ready,0e32789858d7,167906576124,RUN003
ACC-237,Automated Nurture,Ready — Automated,P4,N/A,NO_FEB_GMV (Feb unconfirmed); LOW_CONFIDENCE,Draft Ready,43ef44026794,9ef18101ead5,RUN003
ACC-238,Automated Nurture,Ready — Automated,P4,N/A,NO_FEB_GMV (Feb unconfirmed); LOW_CONFIDENCE,Draft Ready,a5698e9d2cda,9a17aa3db9c4,RUN003
ACC-239,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,0cec226abbae,ee9c1033cae1,RUN003
ACC-240,Automated Nurture,Ready — Automated,P4,N/A,NO_FEB_GMV (Feb unconfirmed); LOW_CONFIDENCE,Draft Ready,33f61a831ce8,22ff33c0fb3a,RUN003
ACC-241,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,8c4dc46cd074,6fb4de59e509,RUN003
ACC-242,Automated Nurture,Ready — Automated,P4,N/A,NO_FEB_GMV (Feb unconfirmed); LOW_CONFIDENCE,Draft Ready,7e57d7281d15,a415164538e0,RUN003
ACC-243,Automated Nurture,Ready — Automated,P4,N/A,NO_FEB_GMV (Feb unconfirmed); LOW_CONFIDENCE,Draft Ready,46698e4c9086,560989ba32f9,RUN003
ACC-244,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,43c32c95f95b,b3a86975766c,RUN003
ACC-245,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,121061ba0610,6cb17793b43e,RUN003
ACC-246,Automated Nurture,Ready — Automated,P4,N/A,FEB_SENSITIVE; LOW_CONFIDENCE,Draft Ready,50d3f2ca43ec,1e2d48cb1b98,RUN003
ACC-247,Automated Nurture,Ready — Automated,P4,N/A,NO_FEB_GMV (Feb unconfirmed); LOW_CONFIDENCE,Draft Ready,c432a6ed9894,0fed36e0b839,RUN003
ACC-248,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,3eed98a78375,dc3b96823bd5,RUN003
ACC-249,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,c8d4829c2cd8,9a00cf98121d,RUN003
ACC-250,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,a405b65d81e0,00379932bfb9,RUN003
ACC-251,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,0af2daa28eec,7ce78e7a6108,RUN003
ACC-252,Automated Nurture,Ready — Automated,P4,N/A,FEB_SENSITIVE; LOW_CONFIDENCE,Draft Ready,e03f850245c4,9325f4449fe2,RUN003
ACC-253,Automated Nurture,Ready — Automated,P4,N/A,NO_FEB_GMV (Feb unconfirmed); LOW_CONFIDENCE,Draft Ready,e0780da40176,b44f0c2eb2f0,RUN003
ACC-254,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,f5e0b31443c4,818452de8083,RUN003
ACC-255,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,5753b3213ae2,e78e2dddff9c,RUN003
ACC-256,Discovery-to-Offer Enablement,Ready — Automated,P3,N/A,LOW_CONFIDENCE,Draft Ready,a18f3158b1a0,c451fb7327ab,RUN003
ACC-257,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,7503815ad16b,9af4ac90776e,RUN003
ACC-258,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,fedf5d9d5851,7e0d0739a56f,RUN003
ACC-259,Automated Nurture,Ready — Automated,P4,N/A,FEB_SENSITIVE; LOW_CONFIDENCE,Draft Ready,8e6abd168068,68958af25a1d,RUN003
ACC-260,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,c6285f384356,d3256d1892fd,RUN003
ACC-261,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,1d8c8054350c,f7b12b01a76c,RUN003
ACC-262,Automated Nurture,Ready — Automated,P4,N/A,NO_FEB_GMV (Feb unconfirmed); LOW_CONFIDENCE,Draft Ready,0c0eb5c98b7c,b6cdbc548e74,RUN003
ACC-263,Automated Nurture,Ready — Automated,P4,N/A,FEB_SENSITIVE; LOW_CONFIDENCE,Draft Ready,3d2fe57828d3,c17823ea27b3,RUN003
ACC-264,Automated Nurture,Ready — Automated,P4,N/A,NO_FEB_GMV (Feb unconfirmed); LOW_CONFIDENCE,Draft Ready,2f6ee405dab0,15a1306b403b,RUN003
ACC-265,Automated Nurture,Ready — Automated,P4,N/A,NO_FEB_GMV (Feb unconfirmed); LOW_CONFIDENCE,Draft Ready,4daa0f149895,c919fea1ca51,RUN003
ACC-266,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,6ff88212f5a0,dc1459c013ea,RUN003
ACC-267,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,d08d70ae4476,f27834614fc8,RUN003
ACC-268,Automated Nurture,Ready — Automated,P4,N/A,NO_FEB_GMV (Feb unconfirmed); LOW_CONFIDENCE,Draft Ready,8c88facd38b2,7567224ea034,RUN003
ACC-269,Automated Nurture,Ready — Automated,P4,N/A,NO_FEB_GMV (Feb unconfirmed); LOW_CONFIDENCE,Draft Ready,97539148fc1c,fd9b0cbbb085,RUN003
ACC-270,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,0a43e8b9b526,2f683c63fabf,RUN003
ACC-271,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,8c6cc87d80c7,b9d14ebb1008,RUN003
ACC-272,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,72b6c23e8f65,9d70fee52162,RUN003
ACC-273,Automated Nurture,Ready — Automated,P4,N/A,NO_FEB_GMV (Feb unconfirmed); LOW_CONFIDENCE,Draft Ready,b83e15e68e61,d59a2826d923,RUN003
ACC-274,Automated Nurture,Ready — Automated,P4,N/A,NO_FEB_GMV (Feb unconfirmed); LOW_CONFIDENCE,Draft Ready,de7f3136de62,a4a7560eefa5,RUN003
ACC-275,Automated Nurture,Ready — Automated,P4,N/A,FEB_SENSITIVE; LOW_CONFIDENCE,Draft Ready,2975b85d4de0,38ac8e68c67a,RUN003
ACC-276,Automated Nurture,Ready — Automated,P4,N/A,NO_FEB_GMV (Feb unconfirmed); LOW_CONFIDENCE,Draft Ready,bad0550cc134,13d295fe658c,RUN003
ACC-277,Automated Nurture,Ready — Automated,P4,N/A,FEB_SENSITIVE; LOW_CONFIDENCE,Draft Ready,f0be33fe782d,59e2be843040,RUN003
ACC-278,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,20b43632104f,36f49f2fdcef,RUN003
ACC-279,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,dbc1e7c4b206,38fbd6655859,RUN003
ACC-280,Automated Nurture,Ready — Automated,P4,N/A,NO_FEB_GMV (Feb unconfirmed); LOW_CONFIDENCE,Draft Ready,f0434e268b14,e2ac82611250,RUN003
ACC-281,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,6b4ed2d1c17a,d33836f7b20b,RUN003
ACC-282,Automated Nurture,Ready — Automated,P4,N/A,NO_FEB_GMV (Feb unconfirmed); LOW_CONFIDENCE,Draft Ready,4dc075fceb04,8db2a9c2eea5,RUN003
ACC-283,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,3cf26b6622ae,3265d2c0d6bb,RUN003
ACC-284,Automated Nurture,Ready — Automated,P4,N/A,FEB_SENSITIVE; LOW_CONFIDENCE,Draft Ready,53c54b0e772a,06f638e19961,RUN003
ACC-285,Automated Nurture,Ready — Automated,P4,N/A,FEB_SENSITIVE; LOW_CONFIDENCE,Draft Ready,a73d380e0674,4ce3f2a40546,RUN003
ACC-286,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,9c7445698aea,6c1c56908af4,RUN003
ACC-287,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,b76893060cb5,043d32282445,RUN003
ACC-288,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,27ce6185e812,5736308475e2,RUN003
ACC-289,Automated Nurture,Ready — Automated,P4,N/A,FEB_SENSITIVE; LOW_CONFIDENCE,Draft Ready,27bf7e51bb66,4b821fa2f595,RUN003
ACC-290,Automated Nurture,Ready — Automated,P4,N/A,NO_FEB_GMV (Feb unconfirmed); LOW_CONFIDENCE,Draft Ready,e660fd25a3e6,22e415380d1d,RUN003
ACC-291,Automated Nurture,Ready — Automated,P4,N/A,NO_FEB_GMV (Feb unconfirmed); LOW_CONFIDENCE,Draft Ready,e5d70530d239,e49c9b3d2c03,RUN003
ACC-292,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,54c4d054a411,198f43485937,RUN003
ACC-293,Automated Nurture,Ready — Automated,P4,N/A,FEB_SENSITIVE; LOW_CONFIDENCE,Draft Ready,97dd1559bb91,4796d1ff2950,RUN003
ACC-294,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,9a44e9ce58e2,eecf8dc25dd7,RUN003
ACC-295,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,89e21a5eefbe,a447efd554a8,RUN003
ACC-296,Automated Nurture,Ready — Automated,P4,N/A,FEB_SENSITIVE; LOW_CONFIDENCE,Draft Ready,68e45acd40e2,d2c79118ca7f,RUN003
ACC-297,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,74bfd559930a,a0eaa4ca51b3,RUN003
ACC-298,Automated Nurture,Ready — Automated,P4,N/A,FEB_SENSITIVE; LOW_CONFIDENCE,Draft Ready,ed0bbfe11383,002886ccf328,RUN003
ACC-299,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,df7ada32eab2,0edb2cc057ad,RUN003
ACC-300,Automated Nurture,Ready — Automated,P4,N/A,FEB_SENSITIVE; LOW_CONFIDENCE,Draft Ready,c657541d685a,624a7fad2946,RUN003
ACC-301,Retention Conversation,Ready — Human,P1,N/A,FEB_SENSITIVE; H2_SINGLE_MONTH_SPIKE,Draft Ready,5ec9071df9c3,10d0da831e83,RUN003
ACC-302,Guided Self-Serve Migration,Human Sign-Off Required,P2,Baseline,KEY_SIGNOFF; H2_SINGLE_MONTH_SPIKE; NO_FEB_GMV (Feb unconfirmed),Awaiting Sign-Off,c5b4f4826999,2d4cf33e2b70,RUN003
ACC-303,Retention Conversation,Ready — Human,P1,N/A,MATERIAL_BROKER_INCONSISTENCY,Draft Ready,098772224d83,a9291cf9ca70,RUN003
ACC-304,Guided Self-Serve Migration,Ready — Hybrid,P2,Baseline,H2_SINGLE_MONTH_SPIKE; NO_FEB_GMV (Feb unconfirmed),Draft Ready,9ce6f8396576,f3e5d352946b,RUN003
ACC-305,Verify Demand / Win-Back,Ready — Human,P1,N/A,,Draft Ready,962b402c8042,c23b2bdd0ca9,RUN003
ACC-306,Verify Demand / Win-Back,Ready — Human,P1,N/A,,Draft Ready,b7ed5d73d9d0,dee7792b187a,RUN003
ACC-307,Establish / Re-establish,Ready — Human,P2,N/A,LOW_CONFIDENCE,Draft Ready,f0c9d7e4576d,29863a45e989,RUN003
ACC-308,Guided Self-Serve Migration,Ready — Human,P3,Baseline,MATERIAL_BROKER_INCONSISTENCY,Draft Ready,560c61f4bb1d,d6a07ab32ebf,RUN003
ACC-309,Automated Nurture,Ready — Automated,P4,N/A,,Draft Ready,e825aada3171,242f00e391fc,RUN003
ACC-310,Service Model Review,Ready — Human,P3,N/A,H2_SINGLE_MONTH_SPIKE; NO_FEB_GMV (Feb unconfirmed),Not Started,618c111a6d6b,d6cb2f924dfb,RUN003
ACC-311,Automated Nurture,Ready — Automated,P3,N/A,H2_SINGLE_MONTH_SPIKE; NO_FEB_GMV (Feb unconfirmed),Draft Ready,d9c6ad7bd10f,0b5545b31217,RUN003
ACC-312,Automated Nurture,Ready — Automated,P4,N/A,BORDERLINE_MOMENTUM; MATERIAL_BROKER_INCONSISTENCY; LOW_CONFIDENCE,Draft Ready,fca883535edd,766120eedb1c,RUN003
ACC-313,Service Model Review,Ready — Human,P3,N/A,FEB_SENSITIVE,Not Started,36cd01a37a11,6d18cd087518,RUN003
ACC-314,Automated Nurture,Ready — Automated,P4,N/A,MATERIAL_BROKER_INCONSISTENCY; LOW_CONFIDENCE,Draft Ready,96c9cb8e3c47,e7355dd5db86,RUN003
ACC-315,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,9e21a407858c,32274a06feaf,RUN003
ACC-316,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,f35144765037,6e1b5006c182,RUN003
ACC-317,Automated Nurture,Ready — Automated,P4,N/A,,Draft Ready,72f88603e5d2,34252771819e,RUN003
ACC-318,Automated Nurture,Ready — Automated,P4,N/A,,Draft Ready,a7af2ab24f72,b9ec10b269df,RUN003
ACC-319,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,370480312be3,e31d53ab3ebd,RUN003
ACC-320,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,90fe3d1a4327,a2e2391dd804,RUN003
ACC-321,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,fe046772254c,ea5b63b35f08,RUN003
ACC-322,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,f5c1b81dd06b,9a5424d2dc1d,RUN003
ACC-323,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,c552125ab390,20d95c61e72f,RUN003
ACC-324,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,4d1b76003b22,afc2182d772b,RUN003
ACC-325,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,04acf9d29755,dde16a3b6f6b,RUN003
ACC-326,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,dedc35c6bde7,a22a5ddca564,RUN003
ACC-327,Automated Nurture,Ready — Automated,P4,N/A,MATERIAL_BROKER_INCONSISTENCY,Draft Ready,76b954533fbf,d91056262a9a,RUN003
ACC-328,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,33aeebc57177,b37381bbad8e,RUN003
ACC-329,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,e2e812e4313d,66dd247ef168,RUN003
ACC-330,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,91567a692bc6,5ae2709c6717,RUN003
ACC-331,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,06455cade58a,e8713049b6f9,RUN003
ACC-332,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,990096ea67ba,ee2e9a25ca5c,RUN003
ACC-333,Automated Nurture,Ready — Automated,P4,N/A,NO_FEB_GMV (Feb unconfirmed); LOW_CONFIDENCE,Draft Ready,0cb18308da4f,1b9a70073cd9,RUN003
ACC-334,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,7435936fab67,8ca0a2e17919,RUN003
ACC-335,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,4622ddc113c7,4a3ffe5cc8bd,RUN003
ACC-336,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,c2d236d09627,2a7d0c00b5e7,RUN003
ACC-337,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,463466a9e706,87afa9fcd06e,RUN003
ACC-338,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,a1a856eac763,27a253bf90f0,RUN003
ACC-339,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,7a26e8748540,0000bdd6bb0f,RUN003
ACC-340,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,a07894e4e0c3,13bc66ccc7da,RUN003
ACC-341,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,257d2ea8c08b,a9914d880d11,RUN003
ACC-342,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,9fb9fdd93ac8,31fe136b1488,RUN003
ACC-343,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,c9c78fc9e850,696fc89d9f78,RUN003
ACC-344,Automated Nurture,Ready — Automated,P4,N/A,FEB_SENSITIVE; LOW_CONFIDENCE,Draft Ready,5828be6a4b56,1712e7bb716e,RUN003
ACC-345,Automated Nurture,Ready — Automated,P4,N/A,NO_FEB_GMV (Feb unconfirmed); LOW_CONFIDENCE,Draft Ready,6195433843b5,fec35fa3e9e7,RUN003
